protein_id	gene_names	OR-01	OR-04	OR-07	OR-09	OR-10	OR-13	OR-20	OR-23	OR-25	PD-02	PD-03	PD-04	PD-06	PD-07	PD-08	PD-09	PD-10	PD-11
A0AV96	RBM47	21.5516504290661	23.8358024010451	23.4177532711139	23.451648327415	22.7806938275425	23.2418254738783	22.7487157930243	24.5747418558322	22.5634155670429	23.1324272569834	24.2597901000101	24.7346302709396	24.6604941913553	24.278680215694	22.9995018776728	22.0247400902981	24.5779367275902	22.639886980032
A0AVT1	UBA6	22.6854743934067	22.1368590126462	22.1242639368795	22.7200652778623	NA	22.509476410164	22.9570839310123	22.2614238070356	22.5815614442937	22.2224000842717	22.8917363257588	22.3820868088141	22.2103176033398	21.6960809780241	NA	NA	21.5640401542774	22.8763209522224
A0FGR8	ESYT2	23.0561756962157	22.8950128622642	22.1293183771986	22.63025004395	23.9618128308892	22.9394867532921	22.87815390534	23.6071339075704	22.1071862609758	22.4449467825429	23.182785299787	22.340305281584	22.8991895217647	21.8411629104165	NA	22.7074150844998	23.2713409101491	23.5795189366707
A0MZ66	KIAA1598	23.2282464954421	24.3072717288342	23.4225556674996	23.8923683507198	NA	23.8165567406441	23.3236315180032	24.3645794615905	23.6066681036369	23.5972840860938	25.1849219133555	25.195252985531	24.6714728231412	23.7205738362437	23.8197122686026	23.3000947232805	24.1171843548334	24.1597512854795
A1L0T0	ILVBL	22.1453573719729	23.1610792652203	24.2903304309646	23.888027549987	24.0375572583801	NA	22.4766951715561	NA	23.8381450503943	23.9041423040248	23.3684726494802	NA	23.7341806540532	NA	23.8251522527576	24.5306708099137	22.6869037102952	25.3903960277803
A3KMH1	KIAA0564	21.5075465896117	24.1405649915615	NA	21.6808599003798	21.2570511692065	NA	21.854118092517	21.3060520275257	NA	NA	NA	NA	21.4618130075288	NA	NA	NA	21.3049083996327	21.7390410793675
A5YKK6	CNOT1	22.6651253579539	22.4627537124166	22.7440606639801	22.7870272338236	22.2981453484876	22.5787267787271	23.2389195624875	22.5223917073291	NA	22.2383910776727	22.5216376970234	22.2264095752057	22.5146372284263	NA	NA	NA	22.3760172728022	21.9702142929524
B7ZAQ6;P0CG08;A6NKF9	GPR89A;GPR89B;GPR89C	NA	NA	NA	NA	22.4800419976135	21.5928097145205	NA	NA	22.1213629615918	NA	NA	NA	NA	NA	NA	NA	NA	NA
A6NL28		23.8632979932237	22.8233642757167	23.5456167245076	24.0851811141558	NA	23.933256430667	22.6626749081045	23.2808082082311	NA	23.9407967525991	24.5839601456841	24.4174639700262	24.2976564461705	24.3912067787555	23.1158865031313	24.8766467537032	24.7768077192476	23.5826280788978
Q9BYU5;A8MTN3;P0C7H8;Q9BYT5	KRTAP2-1;KRTAP2-3;KRTAP2-2	NA	NA	NA	19.6426564889032	NA	NA	NA	NA	31.004351545909	NA	NA	NA	NA	NA	NA	NA	NA	19.7592853704025
A8MW06;P62328	TMSB4X	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.3197560308284	NA	NA	NA	NA	21.4364778445389	NA	21.1958636114963
A8MWD9;P62308	SNRPG	24.0046309150715	22.9340138607991	23.581550096022	24.0307159671555	23.4143876091051	23.256099991627	20.9843627043753	22.8065632882369	NA	23.6368749757983	23.7036288390601	23.3407646085784	22.883903290069	23.769920550814	NA	22.4971713016764	23.917177652237	22.8486402581372
B9A064;P0CG04	IGLL5;IGLC1	24.8620836885655	24.9384684033114	26.0414064706055	25.5580031525942	26.5080263355285	25.6472694766327	25.0254019510843	24.9496307599384	26.2133952029634	25.4623318245128	25.5474105006601	26.3065397081336	24.8799711052238	26.3380130892704	26.6880930590001	27.3543383662214	25.4639878123838	26.1569488885532
CON__O43790;O43790	KRT86	NA	19.3889813457848	NA	27.569682203227	21.2593827980629	18.7083112565726	20.1510164577169	20.5765944820111	33.9601855693023	18.0504396546528	20.5599691991176	16.8707261519576	19.239778049529	NA	NA	23.6976823552289	NA	22.0754561365529
CON__O76009;O76009;CON__Q6NTB9	KRT33A	NA	NA	NA	NA	NA	NA	NA	NA	30.0896736951679	NA	NA	NA	NA	NA	NA	18.4606077176964	NA	NA
CON__O76015;O76015	KRT38	NA	NA	NA	NA	NA	NA	NA	NA	29.8459382916434	NA	NA	NA	NA	NA	NA	25.7840387263557	NA	NA
CON__P00761		32.4001339354127	32.8062154514507	32.9427577789991	32.7106144986091	32.1872108812076	32.5533139675205	32.2662958769527	32.0682507938205	32.3139931191014	32.4885562946483	32.0871328468247	32.3653925737824	32.4780052854096	33.0400265364295	32.0402670720737	31.9137124564474	32.1256121885462	31.5820941717065
CON__P02533;P02533;CON__P35900;P35900	KRT14	28.3101878921439	30.9066394625335	28.4963755658456	29.8603799718511	28.7587585054009	31.2369773023145	29.8146244662605	29.5294784983172	28.7856228946739	30.44369923809	29.176396369705	27.3284816448205	30.1600532731097	28.4204046204141	28.3858715895828	29.205363401865	30.6146833799226	30.6062063966079
CON__P02538;P02538	KRT6A	NA	25.8103866010461	NA	24.63834580305	NA	25.1149690258284	23.9411958018348	23.1357836647557	NA	NA	23.0656831175666	NA	24.1374418438968	NA	NA	23.642189172908	23.8975501232367	24.9051771989795
CON__P02662		NA	21.3178370156946	23.5450987011481	19.5023586317103	21.3759552318314	23.2133598979491	20.6192677069474	18.2831327156163	22.5340028948842	28.5340919860938	21.6501852872897	20.6755909360284	NA	NA	NA	20.4381757988827	20.3267013629477	NA
CON__P02663		NA	22.2134304323443	NA	NA	NA	NA	21.8957512169711	NA	NA	26.280483548639	NA	21.5776236495901	NA	NA	NA	NA	NA	NA
CON__P02668		NA	17.8510595328083	17.8646435658042	NA	NA	NA	NA	NA	NA	27.235391370997	NA	NA	NA	NA	NA	NA	18.1026150655744	17.5627213816852
CON__P02754		NA	20.9549946874435	NA	19.9133660723859	NA	20.7283911003669	20.5640225282826	21.56374990649	NA	24.6683232493399	NA	20.7532484386519	NA	NA	NA	20.5056756149154	21.4689977284919	NA
CON__P02768-1;P02768	ALB	30.4639291307124	30.6921282476664	31.8890159358685	31.0456286105501	31.4837646261899	31.2422369470331	29.4451748875044	29.7601218046351	29.7952223259912	32.3455414968701	31.7089550159746	31.5369849514068	29.769052188428	32.2112329866561	30.3833221007565	32.5537908533626	32.1936420223737	31.5993168602931
CON__P02769		24.6144155656003	26.9451245338627	25.8546426249275	24.3519125435869	25.3263971098361	25.4432055769713	25.1850969284283	24.8111546043094	26.1906003059908	26.8987084179741	25.5422035850893	26.3470020610089	25.813334600576	25.7041714835	23.8539507945303	26.1644250119669	27.2304049238386	25.3985101601934
CON__P04259		27.2468078475463	29.5111644625709	26.6791921715685	28.0626946182931	26.5673711879266	29.3675729270349	27.4181045008736	27.0852360536079	26.8751390016186	27.539745925561	27.8829023062649	25.1321949960697	28.2892618174726	25.1877960680363	25.8195176035643	27.7090813048745	28.1407322201757	29.19269910212
CON__P05784		25.1219341281934	23.9580742489201	23.2035599867013	NA	25.4517358009016	23.4167899569869	NA	NA	NA	NA	NA	NA	NA	22.5690480446387	NA	NA	26.0430427334855	NA
CON__P05787;P05787;CON__H-INV:HIT000016045;CON__REFSEQ:XP_092267	KRT8	33.8603006991709	33.1265894230895	34.2483666033359	31.2363149339561	33.3578876708141	33.3391651178514	31.2270470962091	30.5370330560676	32.8421106555831	32.6346249900752	32.2308104723951	32.2328772719532	31.8858924721371	34.5048471397612	31.6181937239401	31.544477267331	33.393892763946	32.7431336162279
CON__P08729		NA	29.6854439343612	31.7561930019923	23.8598061428863	30.2855700808244	31.8795731133736	29.2188429778485	25.1568421131979	29.6112065166248	31.7955519128443	29.681782458045	28.790987621782	29.3480503753206	32.8802633105727	29.747644105402	28.3551577578744	21.5325790935047	30.7636483272361
CON__P08779;P08779;CON__Q3ZAW8;CON__Q9Z2K1	KRT16	27.9764079277987	28.9825338693235	24.5851450886943	28.016571034288	26.054286569182	29.9506088566543	27.1472568577822	26.7622719664055	26.4044161517454	26.0752097710217	27.3596738909231	25.7542784304232	27.7399808085376	25.2037780546845	24.2029327641533	27.967540397077	27.5431072702226	29.0234317544434
CON__P13645;P13645;CON__Q7Z3Y7;Q7Z3Y7;CON__Q2M2I5;Q2M2I5;CON__Q7Z3Z0;Q7Z3Z0;CON__Q7Z3Y9;Q7Z3Y9	KRT10	30.3972714713584	33.1612442783543	32.0421667010617	32.1512797375467	31.334640468287	34.0912245301427	33.072449244444	32.4424701290011	31.3743944472927	32.3339279240828	31.9765497521734	31.2238811047291	31.9716995291611	30.7892426255031	30.4153410969172	32.2698935113424	33.6808382952477	32.7628362691131
CON__P13646-1		NA	NA	28.7615854778951	21.3769103602966	27.251162291258	NA	NA	20.5895992482779	NA	NA	NA	NA	NA	NA	25.4647644229055	NA	NA	NA
CON__P13647;P13647	KRT5	26.9835214205675	30.0697276027534	27.9037307635712	28.4670606731812	28.2392146109373	30.1113048840087	29.0703871055449	28.7662161293982	27.6466910066698	29.7103312012574	28.4079922867474	26.7072839637983	29.2530637133876	27.5841581420585	27.5203765676155	28.4038280920756	29.8074475316857	29.5135392181136
CON__P19012;P19012	KRT15	NA	23.1434119486588	27.3844597256017	18.3060677956594	26.0423349089666	20.2134066423249	NA	19.5431836987573	NA	29.2717221243747	21.3015320206203	19.147930713907	21.5513545211749	26.9638522974018	22.145654983211	NA	NA	NA
CON__P19013;P19013	KRT4	18.9548184761075	21.9953709602051	29.1720170683279	22.0332827241566	27.420245750239	20.6708197916427	21.5431949155261	23.483423745064	NA	NA	NA	NA	21.8859784863064	NA	24.5120687992532	20.3951156474479	NA	21.8941733936837
CON__P20930;P20930	FLG	21.6267427872438	22.8023854362127	27.4562143876049	23.0706259120401	22.3283922769955	24.7802018101776	23.0379689629814	22.9744473692092	22.1932205744873	21.5916745383865	22.1544178747741	21.8602129346741	23.24356727457	20.8548668878351	21.0663681790156	NA	24.9591417318134	22.897311150175
CON__P35908		29.939510313553	32.5349547437764	31.4869559335827	31.6261377476572	30.8864897492272	33.5786490999652	32.6093106194773	31.7116289665533	31.1015813354165	31.9400843457697	31.5111015784062	30.8298368239785	31.6259037299907	30.1074431510307	29.9831161339285	31.8271059994321	33.4220254632455	32.3222953249141
CON__P48668;P48668	KRT6C	24.5063164221063	25.2370101085162	21.9645722213581	25.2152867974847	24.1262409476168	26.0709964424169	24.3253190452928	23.0633316694307	23.6603234157685	21.9925685418002	22.3186868838102	NA	25.2967704330978	21.4507214225045	NA	24.1415206207671	24.8440457458747	26.28480500697
CON__P62894		24.7642354771438	24.9671169235555	25.894127204464	24.1202345619001	23.9061693714072	24.956948077476	24.6555714549424	24.358305413588	24.4001989432626	25.1458551640217	24.7734113232427	24.9689158925698	25.0586825059419	25.1471120218459	NA	24.84174876984	24.2585434521082	24.3528987820377
CON__P78386;P78386	KRT85	NA	22.930902548155	17.1715338523293	24.0547978600865	20.3827764976874	NA	19.5866753044433	NA	32.0476706373862	NA	16.9591965159001	NA	22.9006644888374	NA	18.0047667514917	15.8909423794463	NA	16.4474491569441
CON__Q04695;Q04695	KRT17	25.3729976537892	28.4959008336086	24.7070862404873	26.6826690648637	25.7348645517048	27.0217762117852	26.8223940790781	26.0163261463653	25.212239760268	28.1606962479028	25.2406307285949	22.976276051463	26.4530373416528	NA	27.0294198868381	26.0631481519012	26.6239819327639	28.3556981303116
CON__Q14525;Q14525	KRT33B	NA	NA	NA	21.4011343039774	NA	NA	NA	NA	31.1318825132108	NA	NA	NA	NA	NA	NA	18.3061562042009	NA	18.4215648028866
CON__Q15323;CON__Q9UE12;Q15323	KRT31	NA	NA	19.9081073857166	27.690182924784	18.4975835124168	NA	16.5973595186739	NA	33.1662294642053	NA	NA	18.6067641061562	NA	16.8472981790664	NA	24.2296729749115	NA	21.292947717149
CON__Q32MB2;Q86Y46;CON__Q3SY84;Q3SY84	KRT73;KRT71	23.7965353693851	NA	NA	NA	25.3704503897059	NA	NA	25.6775554029339	NA	NA	25.3875758075915	NA	NA	NA	NA	NA	NA	26.2407600324589
CON__Q3KNV1;P08729	KRT7	NA	24.2924898880342	27.8783163044084	NA	26.1554845535998	27.7646020966718	23.6189466851146	NA	25.2399326819954	27.1644584215071	24.782056388868	23.3361647444857	24.065190539255	29.0453539730289	23.0394977080394	22.7599341882345	NA	26.3857848412257
CON__Q3SX28		NA	NA	23.4123669009787	23.4874771993852	NA	NA	NA	NA	NA	24.3073725505791	23.4846451655666	24.4812339956394	22.6929670971804	23.0878397223608	23.8334025082412	24.336967452819	23.9941832428046	23.2748474314599
CON__Q3TTY5		NA	22.2295306397499	22.0263375161902	NA	NA	NA	22.2042607774513	NA	NA	NA	NA	NA	21.4944267170802	NA	NA	NA	22.983906822526	NA
CON__Q5D862;Q5D862	FLG2	23.8150614029729	25.814857964102	26.2689221797114	25.0829673865382	24.2227442318004	26.9345566352079	25.6548726034378	25.1276675127643	24.4229995770825	25.1257864395348	25.0634154529149	24.0944467746537	24.9609496119417	23.4708644668519	23.329632253278	24.8368405767381	27.1030472725677	25.920129306222
CON__Q6IFZ6		NA	22.7836139846779	23.4350514741617	21.6584129219252	NA	22.285314709122	21.9728169359804	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
