protein_id	gene_names	OR-01	OR-04	OR-07	OR-09	OR-10	OR-13	OR-20	OR-23	OR-25	PD-02	PD-03	PD-04	PD-06	PD-07	PD-08	PD-09	PD-10	PD-11
A0AV96	RBM47	2873000	13443000	10197000	10300000	7821300	9443400	6883100	25059000	7363400	9036500	18647000	29718000	26182000	18787000	12593000	4596000	24452000	7008200
A0AVT1	UBA6	6304500	4140600	4160000	6203100	NA	5684200	7952600	5041800	7456600	4809000	7224100	5818800	4791000	3136300	NA	NA	3027200	8256200
A0FGR8	ESYT2	8151600	7003100	4174600	5828700	17735000	7658000	7529200	12814000	5367100	5611100	8838900	5652700	7723200	3468100	NA	7377100	9885300	13442000
A0MZ66	KIAA1598	9184200	18639000	10231000	13980000	NA	14065000	10253000	21662000	15175000	12472000	35408000	40896000	26382000	12760000	22235000	11125000	17767000	20097000
A1L0T0	ILVBL	4335700	8421400	18670000	13938000	18691000	NA	5700300	NA	17816000	15428000	10053000	NA	13777000	NA	22319000	26106000	6592600	47162000
A3KMH1	KIAA0564	2786500	16605000	NA	3018400	2720300	NA	3702400	2600100	NA	NA	NA	NA	2851700	NA	NA	NA	2529500	3753400
A5YKK6	CNOT1	6216200	5190000	6392500	6497800	5597800	5963700	9668300	6041500	NA	4862600	5589500	5223600	5916100	NA	NA	NA	5314600	4405700
B7ZAQ6;P0CG08;A6NKF9	GPR89A;GPR89B;GPR89C	NA	NA	NA	NA	6350000	3011100	NA	NA	5420100	NA	NA	NA	NA	NA	NA	NA	NA	NA
A6NL28		14263000	6663800	11142000	15979000	NA	15250000	6484600	10220000	NA	15825000	23345000	23853000	20360000	20311000	13651000	33181000	28066000	13471000
Q9BYU5;A8MTN3;P0C7H8;Q9BYT5	KRTAP2-1;KRTAP2-3;KRTAP2-2	NA	NA	NA	734880	NA	NA	NA	NA	2558900000	NA	NA	NA	NA	NA	NA	NA	NA	951610
